0.377	0.008
0.784	0.29
0.881	0.984
0.008	0.989
0.004	0.97
0.961	0.273
0.996	0.169
0.996	0.012
0.984	0.996
0.996	0.402
0.996	0.972
0.983	0.996
0.012	0.782
0.996	0.012
0.018	0.992
0.004	0.004
0.996	0.892
0.008	0.981
0.996	0.004
0.939	0.436
0.008	0.5
0.004	0.022
0.972	0.988
0.012	0.662
0.172	0.981
0.681	0.996
0.008	0.947
0.012	0.953
0.793	0.845
0.035	0.008
0.089	0.96
0.156	0.012
0.996	0.285
0.012	0.1
0.023	0.058
0.082	0.992
0.996	0.034
0.945	0.009
0.027	0.956
0.737	0.944
0.004	0.043
0.898	0.036
0.961	0.976
0.532	0.02
0.012	0.891
0.775	0.444
0.004	0.996
0.059	0.294
0.008	0.904
0.976	0.941
0.25	0.996
0.854	0.992
0.009	0.988
0.098	0.126
0.992	0.944
0.939	0.996
0.172	0.194
0.748	0.984
0.984	0.992
0.028	0.903
0.957	0.991
0.983	0.094
0.004	0.972
0.653	0.556
0.036	0.016
0.008	0.729
0.407	0.578
0.004	0.019
0.016	0.051
0.996	0.964
0.996	0.797
0.716	0.992
0.98	0.996
0.008	0.858
0.941	0.064
0.004	0.108
0.992	0.032
0.132	0.423
0.984	0.996
0.012	0.004
0.004	0.98
0.996	0.509
0.004	0.996
0.533	0.329
0.004	0.847
0.945	0.008
0.996	0.992
0.008	0.988
0.988	0.974
0.012	0.981
0.087	0.996
0.828	0.983
0.041	0.033
0.996	0.015
0.187	0.992
0.488	0.011
0.087	0.953
0.98	0.012
0.716	0.037
0.98	0.034
0.988	0.336
0.968	0.988
0.029	0.987
0.914	0.996
0.028	0.209
0.992	0.995
0.004	0.975
0.031	0.086
0.004	0.004
0.883	0.129
0.984	0.004
0.835	0.02
0.435	0.019
0.996	0.016
0.134	0.996
0.805	0.992
0.192	0.004
0.087	0.016
0.004	0.008
0.009	0.981
0.012	0.735
0.032	0.142
0.028	0.059
0.988	0.962
0.163	0.008
0.985	0.004
0.197	0.996
0.426	0.013
0.057	0.038
0.985	0.012
0.254	0.918
0.029	0.983
0.728	0.179
0.965	0.004
0.996	0.996
0.969	0.133
0.004	0.977
0.575	0.004
0.996	0.996
0.98	0.036
0.882	0.004
0.959	0.9
0.73	0.023
0.004	0.004
0.968	0.992
0.02	0.016
0.917	0.193
0.041	0.089
0.016	0.008
0.984	0.933
0.031	0.004
0.996	0.083
0.024	0.992
0.298	0.004
0.996	0.902
0.967	0.992
0.039	0.016
0.114	0.996
0.98	0.928
0.992	0.492
0.996	0.052
0.996	0.867
0.004	0.413
0.984	0.02
0.977	0.027
0.96	0.335
0.049	0.116
0.046	0.642
0.008	0.427
0.18	0.04
0.008	0.008
0.193	0.521
0.062	0.091
0.972	0.935
0.952	0.968
0.042	0.004
0.937	0.983
0.131	0.016
0.785	0.996
0.984	0.012
0.239	0.991
0.34	0.004
0.928	0.053
0.976	0.037
